ID,RESOLUTION,CHM,CHD,IFN,IRN,OPN,SMQ,SCOH,SCOP,CMQ,CCOH,CCOP,SERVICES,K,NMI,NMI_filtered,penalty_swm,penalty_mean,score_swm,penalty_rel_swm,H_global,n_clusters
04_03_10_05_59_815468,0.6,0.54,0.658984126984127,1.2,138.0,18.0,0.2130140128968253,0.2253510378510378,0.0123370249542124,0.50913872452334,0.5132478632478633,0.0041091387245233,13,20,0.2399933229333885,0.2564085150444686,0.7638486621965388,0.680860518113487,0.2361513378034612,0.7825950716835041,0.9760458375406859,13.0
04_03_10_05_59_834732,0.6,0.54,0.658984126984127,1.2,141.0,18.0,0.2032078294280675,0.2218121693121693,0.0186043398841017,0.5481821617535902,0.5504497354497354,0.0022675736961451,15,20,0.24578178827799163,0.2585140547971183,0.7499323523339091,0.6732490362207255,0.2500676476660909,0.7683372270952886,0.9760458375406859,15.0
04_03_10_05_59_852400,0.6,0.54,0.6589841269841269,1.2,143.0,18.0,0.2047704342379087,0.2246981721981721,0.0199277379602634,0.5804428640142925,0.5827104377104376,0.0022675736961451,15,20,0.2502156976037821,0.271636345216612,0.750825087047975,0.6669500250466892,0.24917491295202499,0.7692518713463365,0.9760458375406859,15.0
04_03_10_05_59_870458,0.7,0.54,0.6589841269841269,1.2,141.0,18.0,0.2153916766191861,0.230573593073593,0.0151819164544069,0.5220156926406926,0.5235434704184704,0.0015277777777777,16,20,0.2584358829590902,0.2743861841538855,0.7269839638959867,0.6605933908255189,0.27301603610401326,0.7448256382382069,0.9760458375406861,16.0
04_03_10_05_59_890357,0.7,0.54,0.6589841269841269,1.2,141.0,18.0,0.22780726768822,0.2437638287638287,0.0159565610756086,0.4944045901188758,0.4967628667628667,0.0023582766439909,15,20,0.2509245556210044,0.26029439663558157,0.7468644761051331,0.7039364850521509,0.25313552389486693,0.7651940589050465,0.9760458375406859,15.0
04_03_10_05_59_910358,0.7,0.54,0.658984126984127,1.2,141.0,18.0,0.2107192598104056,0.2273809523809523,0.0166616925705467,0.5512797619047619,0.5532242063492063,0.0019444444444444,16,20,0.26066733651164303,0.27956009648812197,0.7289434106557398,0.6584915564251469,0.27105658934426025,0.7468331738317098,0.9760458375406859,16.0
04_03_10_05_59_930816,0.8,0.54,0.658984126984127,1.2,119.0,18.0,0.1102285095497765,0.1204075540472599,0.0101790444974834,0.4075780953407003,0.4177821769733534,0.010204081632653,8,20,0.20509817550512133,0.213599480330107,0.8098710878188983,0.791678364674885,0.19012891218110173,0.8297469818215779,0.9760458375406859,8.0
04_03_10_05_59_949408,0.8,0.54,0.658984126984127,1.2,141.0,18.0,0.2075180447446072,0.2239468864468864,0.0164288417022792,0.5324832112332112,0.5344971001221,0.0020138888888888,16,20,0.2630548272845767,0.2797479793977665,0.7300387768038658,0.660813646821557,0.26996122319613425,0.7479554225069215,0.9760458375406859,16.0
04_03_10_05_59_967739,0.8,0.54,0.658984126984127,1.2,119.0,18.0,0.1102285095497765,0.1204075540472599,0.0101790444974834,0.4075780953407003,0.4177821769733534,0.010204081632653,8,20,0.20509817550512133,0.213599480330107,0.8098710878188983,0.791678364674885,0.19012891218110173,0.8297469818215779,0.9760458375406859,8.0
04_03_10_05_59_988629,0.9,0.54,0.658984126984127,1.2,119.0,18.0,0.1102285095497765,0.1204075540472599,0.0101790444974834,0.4075780953407003,0.4177821769733534,0.010204081632653,8,20,0.20509817550512133,0.213599480330107,0.8098710878188983,0.791678364674885,0.19012891218110173,0.8297469818215779,0.9760458375406859,8.0
04_03_10_06_00_007918,0.9,0.5773809523809523,0.6489406179138322,1.5,117.0,14.0,0.1071914536988066,0.117301264911559,0.0101098112127523,0.4001385694137795,0.4116181612505142,0.0114795918367346,8,20,0.20445968270883386,0.21753483567820278,0.810371106783721,0.79258074021008,0.18962889321627896,0.830259272275152,0.9760458375406859,8.0
04_03_10_06_00_028017,0.9,0.54,0.658984126984127,1.2,119.0,18.0,0.1102285095497765,0.1204075540472599,0.0101790444974834,0.4075780953407003,0.4177821769733534,0.010204081632653,8,20,0.20509817550512133,0.213599480330107,0.8098710878188983,0.791678364674885,0.19012891218110173,0.8297469818215779,0.9760458375406859,8.0
04_03_10_06_00_049991,1.0,0.54,0.658984126984127,1.2,120.0,18.0,0.1195367270204657,0.1326264149793561,0.0130896879588904,0.4088749032376483,0.417362557558636,0.0084876543209876,9,20,0.2163422404712268,0.23112588213608826,0.8020059238209049,0.7940731588675157,0.19799407617909515,0.8216887906019819,0.9760458375406861,9.0
04_03_10_06_00_073272,1.0,0.54,0.658984126984127,1.2,121.0,18.0,0.1186488131716222,0.1300655227125815,0.0114167095409592,0.3784494567057592,0.3924800689506572,0.0140306122448979,8,20,0.20142986785851463,0.21318349914513463,0.8122514244815829,0.7948490912495172,0.18774857551841706,0.8321857368176366,0.9760458375406859,8.0
04_03_10_06_00_095124,1.0,0.54,0.658984126984127,1.2,119.0,18.0,0.1207192990265906,0.1336063627730294,0.0128870637464387,0.4053249219915886,0.4130409713743047,0.007716049382716,9,20,0.21718947255119178,0.21926127266506382,0.8010351542020036,0.7927715464151793,0.19896484579799645,0.8206941963098252,0.9760458375406861,9.0
04_03_09_58_22_483240,0.3,0.5399999999999999,0.6589841269841269,1.2,147.0,18.0,0.1672544598647539,0.1829125286478227,0.0156580687830687,0.6956839619924188,0.6963487819370171,0.0006648199445983,20,12,0.24865750406527792,0.2697824913480964,0.7222298353520429,0.5339359075919363,0.2777701646479571,0.7399548336498459,0.9760458375406861,20.0
04_03_09_58_22_497128,0.3,0.5773809523809523,0.6489406179138322,1.5,146.0,14.0,0.1914493391524408,0.2062415396780721,0.0147922005256313,0.638242199143291,0.6389603688365298,0.0007181696932389,19,12,0.2921628029956912,0.2975874856605426,0.6852323889096201,0.5371621645651091,0.3147676110903799,0.7020493941515902,0.9760458375406861,19.0
04_03_09_58_22_514717,0.3,0.5399999999999999,0.6589841269841269,1.2,151.0,18.0,0.2103713722279898,0.2276108695226342,0.0172394972946443,0.5026999395777676,0.5051654228124816,0.002465483234714,13,12,0.23202197305147884,0.23894244789878671,0.7649370401644302,0.7042634069764584,0.2350629598355698,0.783710160674236,0.9760458375406859,13.0
04_03_09_58_22_531547,0.4,0.5773809523809523,0.6489406179138322,1.5,130.0,14.0,0.2045729390657361,0.2137418428910025,0.0091689038252663,0.5651116758340416,0.5669230512717908,0.001811375437749,14,12,0.2389575889376636,0.26377552938054527,0.7385915266325156,0.6214192161771903,0.2614084733674844,0.7567180743206928,0.9760458375406859,14.0
04_03_09_58_22_548722,0.4,0.5773809523809523,0.6489406179138322,1.5,138.0,14.0,0.2382124766767624,0.2498849298849298,0.0116724532081674,0.5453250453250452,0.5465948865948865,0.0012698412698412,15,12,0.23729254144177053,0.249831053212913,0.7426247591687216,0.624713253993632,0.2573752408312784,0.7608502906378777,0.9760458375406859,15.0
04_03_09_58_22_567430,0.4,0.5773809523809523,0.6489406179138322,1.5,135.0,14.0,0.244826821074195,0.2571108746528914,0.0122840535786964,0.4957226946722744,0.4972925533849903,0.0015698587127158,14,12,0.2429399359182269,0.2572633982072635,0.7423061956217981,0.6217539902772836,0.2576938043782019,0.7605239088895304,0.9760458375406861,14.0
04_03_09_58_22_582854,0.5,0.5773809523809523,0.6489406179138322,1.5,144.0,14.0,0.1852070804767651,0.2030625174046226,0.0178554369278575,0.662354895174444,0.6634433305485937,0.0010884353741496,15,12,0.27731736024900877,0.2903679212802998,0.7176249324917607,0.5618596149195288,0.28237506750823926,0.7352369170488336,0.9760458375406861,15.0
