ID,RESOLUTION,CHM,CHD,IFN,IRN,OPN,SMQ,SCOH,SCOP,CMQ,CCOH,CCOP,SERVICES,K,NMI,NMI_filtered,penalty_swm,penalty_mean,score_swm,penalty_rel_swm,H_global,n_clusters
04_03_10_44_25_987433,0.4,0.569574534942182,0.3046304932229302,1.25,62.0,71.0,0.1110615079365079,0.2583333333333333,0.1472718253968254,0.4494047619047618,0.4583333333333333,0.0089285714285714,8,3,0.547970536557614,0.586460753059274,0.5028681348931617,0.46221618368992257,0.49713186510683827,0.53486412218992,0.9401792231534328,8.0
04_03_10_44_25_991843,0.5,0.569574534942182,0.3046304932229302,1.25,59.0,71.0,0.0956349206349206,0.3257936507936508,0.2301587301587301,0.2371428571428571,0.2682539682539682,0.0311111111111111,6,3,0.5046403750156735,0.543877227342735,0.5652583982049655,0.5432262773338355,0.4347416017950345,0.6012240903484823,0.9401792231534328,6.0
04_03_10_44_25_995966,0.5,0.569574534942182,0.3046304932229302,1.25,62.0,71.0,0.1110615079365079,0.2583333333333333,0.1472718253968254,0.4494047619047618,0.4583333333333333,0.0089285714285714,8,3,0.547970536557614,0.586460753059274,0.5028681348931617,0.46221618368992257,0.49713186510683827,0.53486412218992,0.9401792231534328,8.0
04_03_10_44_26_002237,0.5,0.569574534942182,0.3046304932229302,1.25,59.0,71.0,0.0956349206349206,0.3257936507936508,0.2301587301587301,0.2371428571428571,0.2682539682539682,0.0311111111111111,6,3,0.5046403750156735,0.543877227342735,0.5652583982049655,0.5432262773338355,0.4347416017950345,0.6012240903484823,0.9401792231534328,6.0
04_03_10_44_26_008376,0.6,0.569574534942182,0.3046304932229302,1.25,41.0,71.0,0.1824971655328798,0.2863095238095238,0.1038123582766439,0.3547619047619048,0.4380952380952381,0.0833333333333333,4,3,0.45795334444535263,0.5354381505364856,0.6217577937257889,0.5789560167060673,0.3782422062742111,0.6613183725123873,0.9401792231534328,4.0
04_03_10_44_26_014171,0.6,0.5655479242979242,0.3156415643180349,1.25,45.0,71.0,0.2322619047619048,0.340952380952381,0.1086904761904762,0.3052380952380952,0.3352380952380952,0.03,5,3,0.5530003944020809,0.6211300174070624,0.5471263789774035,0.49784504977060645,0.45287362102259654,0.581938385260525,0.9401792231534328,5.0
04_03_10_44_26_020031,0.6,0.569574534942182,0.3046304932229302,1.25,41.0,71.0,0.1824971655328798,0.2863095238095238,0.1038123582766439,0.3547619047619048,0.4380952380952381,0.0833333333333333,4,3,0.45795334444535263,0.5354381505364856,0.6217577937257889,0.5789560167060673,0.3782422062742111,0.6613183725123873,0.9401792231534328,4.0
04_03_10_44_26_058915,0.9,0.5655479242979242,0.3156415643180349,1.25,41.0,71.0,0.1632936507936508,0.2636904761904762,0.1003968253968253,0.2857142857142857,0.369047619047619,0.0833333333333333,4,3,0.4668220700537024,0.5354381505364856,0.6216168070717761,0.6115704623660283,0.37838319292822387,0.6611684153015273,0.9401792231534328,4.0
04_03_11_27_34_779317,0.3,0.5769704478528008,0.2687461394814336,1.25,54.0,71.0,0.1782738095238095,0.2738095238095238,0.0955357142857143,0.4077097505668934,0.419047619047619,0.0113378684807256,7,12,0.5644853552647408,0.605080648902046,0.500420341772244,0.4512267768237765,0.49957965822775596,0.532260583353242,0.9401792231534327,7.0
04_03_11_27_34_789728,0.3,0.5769704478528008,0.2687461394814336,1.25,52.0,71.0,0.2458333333333334,0.3555555555555556,0.1097222222222222,0.3844444444444445,0.4111111111111111,0.0266666666666666,6,12,0.6527954601320153,0.7152236837398368,0.43968784892885876,0.42738485309960356,0.5603121510711413,0.46766386461308107,0.9401792231534328,6.0
